model,variable,coefficient,std_error,p_value,r_squared,n_obs
Model 1,const,-0.06443996163035848,0.02552001497058305,0.01156734731104593,0.7549471513622967,715
Model 1,volatility,1.1824531135370735,0.07570235488544776,5.340075783682411e-55,0.7549471513622967,715
Model 2,const,-0.06009093816330871,0.027649359863722356,0.029756155866136825,0.7681546748805897,715
Model 2,volatility,1.1189382419912166,0.072337627237803,5.680986861274939e-54,0.7681546748805897,715
Model 2,regime_extreme_greed,0.05522949863577282,0.021790022007804076,0.011256828702405686,0.7681546748805897,715
Model 2,regime_greed,0.002795356266808487,0.014530956761581584,0.847450443370906,0.7681546748805897,715
Model 2,regime_fear,0.03446330367482591,0.01681360439343348,0.04039105093795764,0.7681546748805897,715
Model 2,regime_extreme_fear,0.039469647043909234,0.021252497578069206,0.06328599384801228,0.7681546748805897,715
Model 3,const,-0.21436023776165225,0.07129729818384417,0.0026421418928490852,0.7723375373554802,715
Model 3,volatility,1.0857707638862182,0.07688684203834525,2.792854264844576e-45,0.7723375373554802,715
Model 3,regime_extreme_greed,0.046422269396215896,0.02180837503103021,0.0332837148566763,0.7723375373554802,715
Model 3,regime_greed,-0.0004185322165741046,0.014517938031891851,0.9770012695261968,0.7723375373554802,715
Model 3,regime_fear,0.034322031832801164,0.016866024890977445,0.041852834709503,0.7723375373554802,715
Model 3,regime_extreme_fear,0.03637972732434846,0.020093086260736803,0.07020907304675057,0.7723375373554802,715
Model 3,log_volume,0.016878401848236215,0.007885301697519312,0.032315265725971015,0.7723375373554802,715
Model 3,returns,0.22052054224824785,0.10618267751337158,0.03781971127931108,0.7723375373554802,715
Model 4,const,-0.2143602377616518,0.07129729818384338,0.0026421418928488463,0.77233753735548,715
Model 4,volatility,1.0857707638862182,0.07688684203834487,2.7928542648417038e-45,0.77233753735548,715
Model 4,regime_extreme_greed,0.04642226939621594,0.0218083750310301,0.03328371485667525,0.77233753735548,715
Model 4,regime_greed,-0.0004185322165741012,0.014517938031891827,0.9770012695261969,0.77233753735548,715
Model 4,regime_fear,0.03432203183280115,0.016866024890977455,0.04185283470950321,0.77233753735548,715
Model 4,regime_extreme_fear,0.03637972732434846,0.020093086260736796,0.07020907304675046,0.77233753735548,715
Model 4,log_volume,0.016878401848236173,0.007885301697518011,0.03231526572594292,0.77233753735548,715
Model 4,returns,0.2205205422482477,0.1061826775133716,0.03781971127931124,0.77233753735548,715
Model 4,etf_event,0.0,0.0,,0.77233753735548,715
Model 5,const,-0.07993846320477613,0.026225365917561676,0.002302662378474282,0.7625071189828474,715
Model 5,volatility,1.1481732898651174,0.0762791350784412,3.336443290386092e-51,0.7625071189828474,715
Model 5,distance_from_neutral,0.0765350232408227,0.030329331230368368,0.01162044379287964,0.7625071189828474,715
