direction,lag,f_statistic,p_value
uncertainty_to_spread,1,31.284099219662476,3.1808455139686737e-08
uncertainty_to_spread,2,17.30909325830439,4.57886277558909e-08
uncertainty_to_spread,3,12.790337447153947,3.805867828654291e-08
uncertainty_to_spread,4,9.126401574694594,3.433938451298861e-07
uncertainty_to_spread,5,7.067463864340423,1.8528786527554282e-06
spread_to_uncertainty,1,4.313590002321832e-06,0.998343442654086
spread_to_uncertainty,2,0.42164302735285003,0.6561327676163801
spread_to_uncertainty,3,0.8159233610740376,0.4852647266431205
spread_to_uncertainty,4,0.7059454058594353,0.588019144107429
spread_to_uncertainty,5,0.6302470716522699,0.6767355442116616
