global_step,date,day_step,real_price,sim_price,best_bid,best_ask,spread_bps,imbalance,daily_sentiment,intraday_sentiment,epistemic_uncertainty,aleatoric_uncertainty,regime,total_volume,trade_count,fills_this_step
0,2024-01-01,0,44179.55,44185.375482034804,44159.00627153194,44211.74469253767,11.935718646812912,0.0672275232345412,0.3,0.2949342830602246,0.05197316968394074,0.1546805592132731,greed,1.1340468449361907,7,7
1,2024-01-01,1,44179.55,44204.83173063198,44186.49102754859,44223.172433715365,8.298053568057579,0.12125664479114297,0.3,0.2776755687307784,0.04116167224336399,0.17598528437324806,greed,2.2674408271180733,16,9
2,2024-01-01,2,44179.55,44220.05730191934,44208.19800320664,44231.91660063203,5.363764516053332,0.18081075177903783,0.3,0.2964922681678484,0.059398197043239884,0.17497327922401265,greed,3.460343073318505,25,9
3,2024-01-01,3,44179.55,44236.41661052281,44225.25775866824,44247.575462377376,5.045097550652061,0.20773684776153375,0.3,0.29719173593412174,0.043636499344142016,0.155502135295603,greed,4.7142100328258705,35,10
4,2024-01-01,4,44179.55,44261.28443841901,44260.681733716476,44261.887143121545,0.27233945430259027,0.24333367974127343,0.3,0.2873118077720302,0.04582458280396084,0.16835558684167137,greed,5.825112230153542,42,7
5,2024-01-01,5,44179.55,44270.410236252705,44260.681733716476,44280.138738788926,4.395036090385574,0.2748587345560867,0.3,0.2353150221016712,0.04584289297070436,0.16099085529881074,greed,8.12398653040621,57,15
6,2024-01-01,6,44179.55,44297.14169800599,44293.71191702802,44300.57147898396,1.5485337638050536,0.29916357078931494,0.3,0.25609649526993516,0.05028468876827223,0.16777243706586126,greed,9.167054518101038,63,6
7,2024-01-01,7,44179.55,44309.102104921534,44293.71191702802,44324.49229281504,6.946738779344784,0.3457153503676162,0.3,0.24097131973321095,0.05215089703802877,0.15511572371061874,greed,11.670962680570778,77,14
8,2024-01-01,8,44179.55,44345.492584266365,44338.52262364505,44352.46254488769,3.14348097862581,0.35044539993756113,0.3,0.21986141396151374,0.048803049874792025,0.15366114704534337,greed,13.328337691507578,85,8
9,2024-01-01,9,44179.55,44348.62732535318,44338.52262364505,44358.73202706132,4.55694000808894,0.39915174959587024,0.3,0.2070413975694968,0.04068777042230437,0.17727961206236345,greed,15.810416831894763,98,13
