step,timestamp,mid_price,best_bid,best_ask,spread_bps,imbalance,sentiment,epistemic_uncertainty,aleatoric_uncertainty,regime,fills_this_step,total_volume,trade_count,mm_0_position,mm_0_cash,mm_1_position,mm_1_cash,mm_2_position,mm_2_cash,informed_0_position,informed_0_cash,informed_1_position,informed_1_cash,informed_2_position,informed_2_cash,informed_3_position,informed_3_cash,informed_4_position,informed_4_cash,noise_0_position,noise_0_cash,noise_1_position,noise_1_cash,noise_2_position,noise_2_cash,noise_3_position,noise_3_cash,noise_4_position,noise_4_cash,noise_5_position,noise_5_cash,noise_6_position,noise_6_cash,noise_7_position,noise_7_cash,noise_8_position,noise_8_cash,noise_9_position,noise_9_cash,noise_10_position,noise_10_cash,noise_11_position,noise_11_cash,noise_12_position,noise_12_cash,noise_13_position,noise_13_cash,noise_14_position,noise_14_cash,data_source,replay_interval_ms
1,2026-01-08T18:41:57.282970,41920.54742498559,41894.87546005836,41946.21938991282,12.2479149267627,-0.006224768634935117,0.0,0.0871527240040787,0.2668401865596576,neutral,3,0.2570060142263502,3,0.07932218927781007,96681.36825190918,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.021035886311957897,99117.62409769735,0.0,100000.0,0.0,100000.0,0.0,100000.0,-0.16816410175208013,107045.21409975598,0.0,100000.0,0.06780602616231217,97155.79355063749,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.0,100000.0,sample,500
2,2026-01-08T18:41:57.283428,41918.88481018685,41894.87546005836,41942.89416031534,11.455147357667993,-0.012403068507153272,0.0,0.0871527240040787,0.2668401865596576,neutral,4,0.5699037561819323,7,0.19138054078404393,91991.66798243517,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.0,100000.0,-0.11702476139065246,104902.73780420443,0.0,100000.0,0.07683072485690012,96777.42708991496,0.0,100000.0,0.0,100000.0,0.0,100000.0,-0.12353924507234829,105173.37007122453,0.0,100000.0,0.06780602616231217,97155.79355063749,0.0,100000.0,0.0,100000.0,-0.09545328534025548,103999.00350158341,0.0,100000.0,sample,500
3,2026-01-08T18:41:57.283819,41915.70437907509,41894.87546005836,41936.53329809181,9.938479777580197,0.0024304445709080135,0.0,0.0871527240040787,0.2668401865596576,neutral,2,0.805505008538386,9,-0.044220711572409796,101871.96774695373,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.0,100000.0,-0.11702476139065246,104902.73780420443,0.0,100000.0,0.07683072485690012,96777.42708991496,0.0,100000.0,0.0,100000.0,0.09044628133421022,96206.99651113931,-0.12353924507234829,105173.37007122453,0.0,100000.0,0.2129609971845557,91068.49727497963,0.0,100000.0,0.0,100000.0,-0.09545328534025548,103999.00350158341,0.0,100000.0,sample,500
4,2026-01-08T18:41:57.284179,41915.70437907509,41894.87546005836,41936.53329809181,9.938479777580197,0.0006214237610925779,0.0,0.0871527240040787,0.2668401865596576,neutral,1,0.836574264492634,10,-0.01315145561816184,100570.32513811384,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.0,100000.0,-0.11702476139065246,104902.73780420443,0.0,100000.0,0.07683072485690012,96777.42708991496,0.0,100000.0,0.0,100000.0,0.09044628133421022,96206.99651113931,-0.12353924507234829,105173.37007122453,0.0,100000.0,0.2129609971845557,91068.49727497963,0.0,100000.0,-0.031069255954247955,101301.6426088399,-0.09545328534025548,103999.00350158341,0.0,100000.0,sample,500
5,2026-01-08T18:41:57.284580,41914.21111018704,41891.888922282276,41936.53329809181,10.651369697062774,0.001357026875692997,0.0,0.0871527240040787,0.2668401865596576,neutral,4,1.080831814873857,14,-0.032458954071437736,101384.77239000498,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.0,100000.0,-0.11702476139065246,104902.73780420443,0.0,100000.0,0.11746276943516096,95073.45999948918,0.0,100000.0,0.0,100000.0,0.09044628133421022,96206.99651113931,-0.12353924507234829,105173.37007122453,0.0,100000.0,0.10048597122058206,95780.55224641907,0.0,100000.0,-0.031069255954247955,101301.6426088399,-0.09545328534025548,103999.00350158341,0.09115047983898869,96177.4648670952,sample,500
6,2026-01-08T18:41:57.285018,41916.564304258834,41891.888922282276,41941.2396862354,11.773570847768497,0.010365018809987844,0.0,0.0871527240040787,0.2668401865596576,neutral,5,1.4449927954020494,19,-0.27524314917502174,111569.81338399692,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.0,100000.0,-0.11702476139065246,104902.73780420443,0.11603938038329482,95133.16453430199,0.11746276943516096,95073.45999948918,0.05690645193933423,97613.54068336985,0.0,100000.0,0.09044628133421022,96206.99651113931,-0.18422763778465245,107715.72147760022,0.0,100000.0,0.10048597122058206,95780.55224641907,0.13052675549325912,94525.90238196052,-0.031069255954247955,101301.6426088399,-0.09545328534025548,103999.00350158341,0.09115047983898869,96177.4648670952,sample,500
7,2026-01-08T18:41:57.285462,41921.83585598745,41902.432025739494,41941.2396862354,9.257147189169043,0.0075910396660429725,0.0,0.0871527240040787,0.2668401865596576,neutral,5,1.8062845490728676,24,-0.2216106519871594,109329.19909854172,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.0,100000.0,-0.11702476139065246,104902.73780420443,0.11603938038329482,95133.16453430199,0.04651455709053115,98045.6146302649,0.17917611114510018,92485.39960026651,0.0,100000.0,0.037412084046602005,98429.25835802297,-0.18422763778465245,107715.72147760022,-0.0834797157971021,103498.00311671612,0.10048597122058206,95780.55224641907,0.16208672452897105,93202.23815614356,-0.031069255954247955,101301.6426088399,-0.09545328534025548,103999.00350158341,0.09115047983898869,96177.4648670952,sample,500
8,2026-01-08T18:41:57.285846,41923.34655682125,41905.4534274071,41941.2396862354,8.536116929453401,0.011378198836711087,0.0,0.0871527240040787,0.2668401865596576,neutral,1,1.9493525367676943,25,-0.364678639681986,115329.64786187782,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.026043226304174105,98902.28904086833,0.11603938038329482,95133.16453430199,0.04651455709053115,98045.6146302649,0.17917611114510018,92485.39960026651,0.0,100000.0,0.037412084046602005,98429.25835802297,-0.18422763778465245,107715.72147760022,-0.0834797157971021,103498.00311671612,0.10048597122058206,95780.55224641907,0.16208672452897105,93202.23815614356,-0.031069255954247955,101301.6426088399,-0.09545328534025548,103999.00350158341,0.09115047983898869,96177.4648670952,sample,500
9,2026-01-08T18:41:57.286232,41927.44302868915,41912.96142671085,41941.924630667454,6.907934723514522,0.012148154987336889,0.0,0.0871527240040787,0.2668401865596576,neutral,2,2.009740986627222,27,-0.42506708954151384,117862.43358771747,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.026043226304174105,98902.28904086833,0.11603938038329482,95133.16453430199,0.04651455709053115,98045.6146302649,0.17917611114510018,92485.39960026651,0.0,100000.0,0.037412084046602005,98429.25835802297,-0.18422763778465245,107715.72147760022,-0.0834797157971021,103498.00311671612,0.1608744210801099,93247.76652057942,0.16208672452897105,93202.23815614356,-0.031069255954247955,101301.6426088399,-0.09545328534025548,103999.00350158341,0.09115047983898869,96177.4648670952,sample,500
10,2026-01-08T18:41:57.286662,41930.756723885555,41919.588817103664,41941.924630667454,5.326832928599774,0.005999017935928283,0.0,0.0871527240040787,0.2668401865596576,neutral,3,2.2080937527586135,30,-0.2267143234101222,109548.59245956024,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.0,100000.0,-0.03730352255958849,101557.33888250275,0.07238835129595553,96962.9977250867,0.04651455709053115,98045.6146302649,0.17917611114510018,92485.39960026651,0.0,100000.0,0.037412084046602005,98429.25835802297,-0.27558262596494215,111544.67957333833,-0.0834797157971021,103498.00311671612,0.1608744210801099,93247.76652057942,0.16208672452897105,93202.23815614356,-0.031069255954247955,101301.6426088399,-0.09545328534025548,103999.00350158341,0.09115047983898869,96177.4648670952,sample,500
